Date,Price,Open,High,Low,Vol.,Change %
1/27/2014,11054.8,"11,235.10",11295.20,"10,874.60",4.27M,-2.13%
2/6/2014,10574.2,"10,934.70",10994.80,"10,574.20",1.26M,-4.35%
2/7/2014,9973.4,"10,454.00",10514.10,"9,913.30",3.93M,-5.68%
2/10/2014,10213.7,"9,913.30",10333.90,"9,733.10",5.33M,2.41%
2/11/2014,10153.6,"10,333.90",10333.90,"10,153.60",2.55M,-0.59%
2/12/2014,10093.5,"10,093.50",10153.60,"10,033.50",1.55M,-0.59%
2/13/2014,9973.4,"10,093.50",10153.60,"9,973.40",2.84M,-1.19%
2/14/2014,10093.5,"10,093.50",10213.70,"9,973.40",1.96M,1.20%
2/17/2014,10033.5,"10,153.60",10153.60,"9,973.40",1.55M,-0.59%
2/18/2014,9973.4,"10,033.50",10033.50,"9,973.40",2.45M,-0.60%
2/19/2014,9973.4,"10,033.50",10093.50,"9,913.30",3.93M,0.00%
2/20/2014,10153.6,"10,033.50",10333.90,"9,973.40",4.27M,1.81%
2/21/2014,10033.5,"10,093.50",10093.50,"10,033.50",1.19M,-1.18%
2/24/2014,10033.5,"10,093.50",10093.50,"9,973.40",1.10M,0.00%
2/25/2014,10033.5,"9,973.40",10033.50,"9,913.30",1.64M,0.00%
2/26/2014,10033.5,"10,033.50",10153.60,"9,973.40",1.84M,0.00%
2/27/2014,10153.6,"10,033.50",10454.00,"10,033.50",4.91M,1.20%
2/28/2014,10213.7,"10,093.50",10213.70,"10,093.50",1.52M,0.59%
3/3/2014,10033.5,"10,153.60",10213.70,"10,033.50",1.26M,-1.76%
3/4/2014,9973.4,"9,973.40",10033.50,"9,913.30",2.04M,-0.60%
3/5/2014,9973.4,"10,033.50",10093.50,"9,973.40",970.45K,0.00%
3/6/2014,9973.4,"9,973.40",10033.50,"9,913.30",1.01M,0.00%
3/7/2014,9973.4,"9,973.40",10033.50,"9,973.40",1.02M,0.00%
3/10/2014,10033.5,"9,973.40",10093.50,"9,973.40",1.26M,0.60%
3/11/2014,9973.4,"9,973.40",10033.50,"9,973.40",991.12K,-0.60%
3/12/2014,9913.3,"9,973.40",10033.50,"9,913.30",1.29M,-0.60%
3/13/2014,9913.3,"9,973.40",9973.40,"9,853.20",1.06M,0.00%
3/14/2014,9973.4,"9,973.40",10033.50,"9,853.20",1.22M,0.61%
3/17/2014,9973.4,"9,973.40",10033.50,"9,913.30",1.30M,0.00%
